iGrID,RAJ2000,DEJ2000,z,logLtot,logLobs,logMtot,logMstar,NMstar,logMdyn,sigma,Rad,angRad,DL,Ntot
3910,116.72104645,39.0319519,0.0139192,11.10814,11.05438,12.44427,,0,8.1326,46.869,8.8583,0.009019,57.8549,2
19048,118.31728363,39.05009079,0.0413632,11.89721,11.36668,12.81488,11.09031,1,,,,,175.8514,1
7921,118.6036377,39.37155914,0.0203606,11.04223,10.93256,12.16823,11.11114,1,,,,,85.0758,1
23325,118.27945709,39.74419022,0.0284869,11.10853,10.87904,12.18068,10.38435,1,,,,,119.8285,1
1694,119.1882782,39.92782974,0.0129541,11.01047,10.96157,12.17716,,0,,,,,53.8011,1
15163,120.79419708,39.90605927,0.0417307,12.15121,11.61002,13.36006,,0,9.2846,96.8573,29.4384,0.010314,177.4678,2
30696,121.83921814,40.39833069,0.0268902,11.11062,10.9094,12.19084,10.93071,1,,,,,112.9636,1
24676,121.27245331,40.17451859,0.0506134,12.1698,11.36129,13.02285,11.33485,1,,,,,216.8356,1
25989,121.35797882,40.17784882,0.0288173,11.08463,10.84937,12.15889,,0,,,,,121.251,1
21210,121.07621002,40.19577026,0.0413691,11.77366,11.24296,12.70206,11.18598,1,,,,,175.8772,1
22101,121.287117,40.59164047,0.0268147,11.08869,10.88896,12.17282,10.93487,1,,,,,112.6393,1
714,120.09855652,39.83041,0.0135699,11.33037,11.27856,12.44659,,0,,,,,56.3868,1
14785,120.70487976,40.45740128,0.0426818,11.98273,11.41575,12.88704,11.40258,1,,,,,181.6554,1
16358,122.59700012,42.27391052,0.0640011,13.04269,11.78336,13.75223,11.92035,1,,,,,277.2713,1
24808,119.33239746,41.17522049,0.0418199,11.73778,11.19447,12.6673,11.10274,1,,,,,177.8601,1
14828,120.11657715,41.66067886,0.0440612,12.01466,11.4075,12.9099,10.79233,1,,,,,187.7407,1
13052,120.38464355,42.00234985,0.0320719,11.49112,11.19246,12.49371,11.31995,1,,,,,135.3075,1
26131,118.93486023,41.20388031,0.0747229,13.42061,11.76885,14.02585,11.88223,1,,,,,326.6491,1
25176,119.56027985,42.26895142,0.0311854,11.24377,10.96401,12.28175,,0,,,,,131.4714,1
5530,120.85031891,41.91481018,0.0327286,11.77808,11.46574,12.74874,11.55421,1,,,,,138.1528,1
12427,120.36009216,44.19369125,0.0318427,11.48717,11.19372,12.49138,10.78626,1,,,,,134.315,1
1301,115.16377258,39.23337936,0.0116263,10.99411,10.95155,12.16824,10.64627,1,,,,,48.2339,1
21238,116.49482727,41.11938095,0.0405075,11.73598,11.22952,12.67193,11.39432,1,,,,,172.0915,1
7149,116.75847626,41.53617096,0.0290584,11.55837,11.319,12.56928,11.39647,1,,,,,122.2898,1
29450,117.59221649,41.26488876,0.0419603,11.69554,11.14804,12.62834,10.71473,1,,,,,178.4779,1
28144,116.787117,42.0786705,0.0287295,11.05412,10.82032,12.13386,10.47128,1,,,,,120.8731,1
11911,114.40463257,41.9470787,0.0201061,10.9799,10.87344,12.11808,10.52215,1,,,,,83.9949,1
14656,112.95664978,41.82722855,0.0416537,11.89294,11.35416,12.80959,11.09128,1,,,,,177.1287,1
25288,113.25521851,42.42507935,0.0275036,11.06387,10.85164,12.14843,10.79785,1,,,,,115.5989,1
7598,115.30201721,42.74943924,0.036191,11.85812,11.46368,12.80429,11.40229,1,,,,,153.2055,1
21663,117.89852142,42.88019943,0.0324884,11.38368,11.07607,12.39668,10.93126,1,,,,,137.1118,1
23688,117.41251373,42.96707153,0.0311713,11.28352,11.00417,12.31613,10.88191,1,,,,,131.4102,1
13858,116.78265381,43.31399918,0.0420402,12.14711,11.59716,13.30004,11.63427,2,8.934,32.0,120.2948,0.04185,178.8298,2
5755,117.34150696,43.76718903,0.0321583,11.74064,11.44001,12.71762,11.42863,1,,,,,135.6816,1
21209,119.1619873,44.12802887,0.047067,12.35313,11.65735,13.66048,11.76898,2,10.9692,554.4555,43.4494,0.013575,201.0488,2
21731,118.64893341,44.15182877,0.031793,11.38334,11.09068,12.39994,11.08146,1,,,,,134.1,1
22339,117.99237061,45.98334885,0.0521064,12.72844,11.8711,13.91703,11.84507,2,10.5851,133.1983,310.9129,0.088224,223.5093,3
4797,116.65699005,44.7904892,0.031615,11.89711,11.60815,13.24509,11.33446,1,9.9612,282.1519,16.4741,0.007534,133.3295,2
27917,114.53917694,44.84262085,0.0425597,11.76431,11.20077,12.6879,,0,,,,,181.1174,1
19499,114.92453766,45.91263962,0.0323883,11.4198,11.1143,12.42896,11.18528,1,,,,,136.6782,1
10574,116.38970184,45.77225113,0.0320809,11.53963,11.24075,12.53688,11.05491,1,,,,,135.3464,1
14049,116.280159,46.07236862,0.0316361,11.44347,11.15415,12.45371,11.3222,1,,,,,133.4211,1
11139,123.62519073,43.14347076,0.0233909,11.12382,10.97538,12.22053,10.95454,1,,,,,97.9811,1
26099,124.08277893,43.44765091,0.0247225,10.90003,10.73249,12.02868,10.67402,1,,,,,103.6722,1
13940,123.19785309,44.35733032,0.0235512,11.08584,10.93513,12.18774,10.92668,1,,,,,98.6656,1
14019,125.05638123,44.23033142,0.0242031,11.05734,10.89714,12.16046,,0,,,,,101.4508,1
22207,123.82028961,46.0751915,0.0415033,11.75243,11.21812,12.68212,11.19277,1,,,,,176.4675,1
28635,121.32067108,44.40061951,0.0408396,11.63988,11.12431,12.5834,11.31983,1,,,,,173.5497,1
31413,122.25634766,44.86856079,0.0555307,12.42093,11.44935,13.2321,11.44007,1,,,,,238.8784,1
1165,123.31101227,45.98979187,0.0021184,9.58738,9.58738,11.53249,8.67313,2,9.426,134.4975,21.1403,0.139483,8.7207,2
24867,122.67919922,46.54841995,0.0319664,11.29895,11.00268,12.32542,11.11368,1,,,,,134.8507,1
24644,121.96466827,45.91820908,0.0324633,11.28734,10.98027,12.31281,10.78268,1,,,,,137.0031,1
5665,121.36049652,46.70782089,0.0231185,11.51312,11.36815,12.96873,10.18476,1,11.0616,184.4201,485.8317,0.300953,96.8182,3
