iGalID,iGrID,Name,RAJ2000,DEJ2000,z,logMstar
40419,29309,"    02250607+0800431",36.27529907,8.01204967,0.0681487,
32986,23943,"    02225244+0844212",35.71855164,8.73921013,0.0281154,
24932,18150,"    02320211+0835306",38.00878906,8.59181023,0.0298856,
37292,27073,"    02322221+0851326",38.09259033,8.85902023,0.0542999,
25855,18806,"    02315666+0928076",37.98612976,9.46874046,0.0456073,
4308,3098,"    02332274+0936063",38.34476852,9.60169983,0.0194526,
26288,19115,"    02335396+0937544",38.47481918,9.63183022,0.0396725,
38959,28250,"    02335535+1002044",38.48072815,10.03452969,0.0276577,
38165,27696,"    02295000+0950533",37.45838928,9.84813976,0.0273981,
12781,9304,"    02321423+0943126",38.05932999,9.72019005,0.027181,
16399,9304,"    02314938+0944102",37.95573044,9.73618984,0.0276428,
37964,9304,"    02314668+0946342",37.94451904,9.77626991,0.0266156,
10058,7315,"    02292363+1010376",37.34854889,10.17710972,0.0273161,
29760,21630,"    02215136+0842215",35.46398926,8.70604992,0.0451787,
32586,23654,"    02172188+0951058",34.34114075,9.85167027,0.0271364,
22605,7315,"    02282165+1022558",37.09027863,10.38214016,0.0279988,
39798,28866,"    02230586+1119282",35.7743988,11.32460022,0.0385218,
29350,21327,"    02385333+1017404",39.72225952,10.29452038,0.0257669,
40921,29678,"    02354119+1011230",38.92161179,10.18968964,0.0404861,
11773,8587,"    02355988+1026255",38.99953079,10.44044018,0.0556361,
32231,8587,"    02362773+1028361",39.11547852,10.47675037,0.0560947,
2574,628,"    02393654+1047361",39.90225983,10.79333973,0.0113543,10.89735
924,628,"    02391196+1050485",39.79983902,10.84681988,0.0110059,
37587,27284,"    02393715+1050371",39.90480042,10.84366989,0.0278369,
31647,22983,"    02335077+1112128",38.46157837,11.20349026,0.023105,
1874,1303,"    02361820+1138315",39.07588959,11.64206982,0.0109172,
34858,25315,"    02444420+1117413",41.18413162,11.29485989,0.0347967,
15190,11034,"    02452340+1127290",41.34756851,11.45812035,0.0204578,
18211,13246,"    02483563+1200310",42.14836884,12.00864983,0.0336386,
19035,13855,"    02343594+1143232",38.64984894,11.72311974,0.0257088,
37586,27283,"    02373309+1310197",39.38793945,13.17226028,0.0391447,
2430,1718,"    02352268+1250156",38.8445015,12.83771038,0.0192496,
41127,29826,"    02362546+1346496",39.10606003,13.78040981,0.0394201,
29974,21787,"    02361577+1404562",39.06579971,14.08232975,0.0452612,
19269,14027,"    02594223+1034103",44.92604828,10.56947994,0.0240604,
12368,2050,"    02572965+1027261",44.37360001,10.45728016,0.0246478,
2888,2050,"    02572599+1028441",44.35832977,10.47894001,0.0253644,
35739,25945,"    02563464+1055525",44.14432144,10.9313097,0.0574976,
6384,4638,"    02581392+1107596",44.55804062,11.13329983,0.0252873,
20472,14900,"    02575373+1110585",44.47388077,11.18290997,0.0108479,
16955,12306,"    03020602+1130519",45.52518845,11.51438046,0.0247137,
28420,20668,"    02582810+1122157",44.6171608,11.37102032,0.0430905,
31717,23033,"    02580989+1133116",44.54129028,11.55331039,0.0248633,
23077,8282,"    03004701+1146203",45.19589996,11.77229023,0.0247545,
11375,8282,"    03003500+1150340",45.14582062,11.84276962,0.0249736,
7573,5511,"    03081711+1154252",47.07128906,11.9070797,0.0239137,
33550,24361,"    02543181+1108356",43.63249969,11.14319992,0.0578921,
37782,27427,"    02560331+1116463",44.01375961,11.2795496,0.0572315,
25098,10176,"    02542366+1144505",43.59867096,11.74740028,0.0239668,
13977,10176,"    02540195+1149466",43.50807953,11.82966042,0.0247421,
21129,15366,"    02573217+1228144",44.38401031,12.47066021,0.0305885,
